SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
RELINFRA	EQ	262.00	1.87	10,378.64	62.32	163.17
MAXHEALTH	EQ	1,117.90	2.11	1,08,675.76	14.42	160.19
ICICIPRULI	EQ	565.00	0.29	81,660.68	28.03	157.57
ADANIPORTS	EQ	1,201.30	0.49	2,59,497.49	13.01	155.46
WELSPUNLIV	EQ	133.90	2.05	12,843.05	115.45	153.56
HUDCO	EQ	210.18	2.11	42,075.93	73.41	153.24
BAJAJHFL	EQ	124.50	2.40	1,03,685.43	121.84	150.78
FEDERALBNK	EQ	194.80	1.40	47,858.59	76.97	148.26
MARICO	EQ	660.00	0.54	85,502.84	22.10	145.35
LIQUID1	EQ	1,043.33	0.01	1,294.82	13.90	145.06
ASIANPAINT	EQ	2,347.70	1.78	2,25,190.87	6.09	142.44
CAMS	EQ	3,824.00	1.79	18,901.97	3.77	142.40
PARADEEP	EQ	118.13	5.25	9,630.08	121.31	141.51
CENTRALBK	EQ	36.96	0.27	33,453.98	384.25	141.44
DBREALTY	EQ	175.10	2.30	9,428.53	80.30	140.25
INDHOTEL	EQ	831.45	0.16	1,18,351.27	16.79	139.32
BANDHANBNK	EQ	156.65	3.38	25,235.87	89.93	139.25
GODREJPROP	EQ	2,151.00	0.20	64,784.87	6.41	138.18
ASHOKLEY	EQ	209.99	0.58	61,664.14	65.56	136.18
AARTIPHARM	EQ	805.35	6.98	7,299.26	16.63	130.87
INDIANB	EQ	550.50	3.93	74,150.37	23.66	129.47
TITAGARH	EQ	828.00	2.23	11,150.99	15.70	128.39
COROMANDEL	EQ	2,124.70	3.65	62,601.38	6.26	127.97
NHPC	EQ	84.67	1.17	85,051.31	152.26	127.95
BIOCON	EQ	345.90	1.13	41,528.75	35.68	124.99
DATAPATTNS	EQ	1,741.05	1.10	9,747.09	7.15	124.98
GOKEX	EQ	897.00	7.08	6,410.54	13.57	120.81
EICHERMOT	EQ	5,372.50	0.32	1,47,294.65	2.24	120.59
ABB	EQ	5,330.00	0.32	1,12,947.16	2.25	119.25
SWIGGY	EQ	345.45	0.25	78,986.48	33.95	117.06
IIFL	EQ	349.75	4.17	14,847.47	33.20	115.12
POONAWALLA	EQ	364.00	4.52	28,319.72	31.82	114.15
ABCAPITAL	EQ	193.04	1.51	50,325.74	57.91	111.00
VMM	EQ	109.50	1.66	50,341.84	101.52	110.28
MANKIND	EQ	2,424.00	0.09	1,00,009.03	4.47	109.33
GODREJCP	EQ	1,165.00	0.20	1,19,180.43	9.27	107.89
GLENMARK	EQ	1,540.75	1.67	43,478.14	6.95	107.73
LIQUIDPLUS	EQ	1,025.59	0.02	256.22	10.43	106.95
SUPRIYA	EQ	792.90	0.83	6,381.48	12.85	103.93
NACLIND	EQ	131.58	6.85	2,624.22	78.47	103.32
MARKSANS	EQ	232.80	3.37	10,549.65	42.30	100.16
NCC	EQ	214.64	0.30	13,476.10	46.49	99.49
JUBLFOOD	EQ	693.00	1.52	45,727.27	14.10	96.95
ALKEM	EQ	4,930.00	0.87	58,945.55	1.93	95.73
LICHSGFIN	EQ	574.15	1.50	31,581.87	16.63	95.41
GUJALKALI	EQ	650.00	0.35	4,773.94	13.93	93.25
SAMMAANCAP	EQ	116.29	3.98	9,632.72	79.54	91.30
SWSOLAR	EQ	274.10	3.61	6,400.08	33.65	90.68
MOTILALOFS	EQ	622.00	1.52	37,230.00	14.58	90.13
SUVENPHAR	EQ	1,119.10	2.23	28,488.36	7.84	88.64
TORNTPOWER	EQ	1,556.85	3.12	78,450.22	5.71	87.86
HFCL	EQ	83.34	1.94	12,023.24	105.92	87.36
MFSL	EQ	1,149.55	0.46	39,672.67	7.57	86.43
UCOBANK	EQ	30.37	1.10	38,082.64	285.04	86.42
PROTEAN	EQ	1,445.90	3.74	5,862.67	5.97	85.57
BEML	EQ	3,149.00	0.77	13,113.85	2.70	84.77
KRN	EQ	861.55	1.33	5,355.10	9.80	84.60
SUPREMEIND	EQ	3,423.00	2.02	43,481.30	2.47	84.26
SWANENERGY	EQ	441.90	1.05	13,851.66	18.85	83.49
BLS	EQ	404.95	1.12	16,673.45	20.58	82.86
COLPAL	EQ	2,407.00	1.79	65,466.94	3.46	82.21
IPCALAB	EQ	1,480.95	4.59	37,572.33	5.48	81.15
SCI	EQ	171.77	1.05	8,001.03	47.18	81.02
DALBHARAT	EQ	1,858.75	2.29	34,863.67	4.34	80.66
SHREECEM	EQ	31,050.00	2.57	1,12,030.72	0.26	80.56
JWL	EQ	379.55	2.30	16,111.82	21.48	80.26
