Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
CELLECOR,SM,59.55,0.17,1296.27,6.57,3.82
URAVIDEF,EQ,417,0.31,458.7,0.88,3.82
ESFL,SM,512,4.17,1271.76,0.72,3.62
PURPLEUTED,SM,166,10.3,159.52,2.08,3.55
AVONMORE,BE,20.66,4.98,582.99,15.98,3.27
SEAMECLTD,EQ,1035,0.85,2631.49,0.31,3.23
ATALREAL,EQ,15.38,4.7,170.74,21.43,3.23
NAHARSPING,EQ,237.5,1.44,856.55,1.35,3.23
GPTHEALTH,EQ,169.48,0.28,1390.67,1.93,3.22
SIS,EQ,334.9,0.19,4834.87,0.95,3.18
ELIN,EQ,136,1.72,675.37,2.3,3.11
SSWL,EQ,195.5,0.24,3067.97,1.59,3.05
AMBIKCO,EQ,1420,0.16,812.95,0.2,2.83
754GS2036,GS,110.25,0.19,164272.5,2.47,2.73
SOLEX,ST,767.1,5,828.66,0.35,2.72
SUYOG,BE,970.05,5,1047.89,0.28,2.71
KARNIKA,ST,649.95,2.92,805.91,0.44,2.69
MASTERTR,EQ,138,1.11,1549.27,1.91,2.63
BYKE,EQ,75.3,4.96,393.66,3.5,2.62
738GS2027,GS,104.49,0.11,148375.8,2.5,2.61
SHANKARA,EQ,609,2.02,1476.78,0.43,2.58
IRBINVIT,IV,53.4,0.77,3099.87,4.68,2.5
DIAMONDYD,EQ,1075.5,0.1,2567.59,0.24,2.5
MUFTI,EQ,126.5,0.43,826.18,1.94,2.43
FAZE3Q,EQ,425,8.06,1033.56,0.6,2.43
ROYALARC,SM,175.3,3.61,194.59,1.36,2.43
GROWWLIQID,EQ,103.42,0.05,56.39,2.34,2.42
EBBETF0430,EQ,1493.01,0.67,18940.96,0.16,2.4
JTEKTINDIA,EQ,133,0.56,3381.93,1.8,2.39
HERCULES,EQ,174.57,5,558.62,1.35,2.32
APEX,EQ,207.75,0.8,649.22,1.11,2.26
