Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SGBFEB27,GB,8753.01,-0.86,181.53,0,0
1049DLS25A,Y5,992.55,-0.74,15.37,0,0
IIFLHF29,NE,1199,-0.91,6.63,0,0
679GS2034,GS,101.75,-1.07,187220,0,0
753IRFC30,NJ,1119,-0.09,1202.05,0,0
1060ECL29,NS,999,-0.1,195.06,0,0
ORTEL,BZ,1.75,-1.69,5.77,0.15,0
MASKINVEST,BE,164.09,-2,50.07,0,0
FLEXITUFF,BE,28.75,-0.17,94.37,0.01,0
IIFLZC25,ND,1730,-0.23,10,0,0
664GS2035,GS,101.05,-1.65,133718.27,0,0
364D050625,TB,98.93,-0.12,4038.79,0,0
843IHFL29,NC,940,-1.15,50.51,0,0
718GS2037,GS,105.75,-1.17,181890,0,0
GTECJAINX,EQ,27.2,-5.62,27.71,0.01,0
717GS2030,GS,102.5,-4.66,105575,0,0
1040UCL27B,N1,1005,-0.5,34.57,0,0
727GS2026,GS,100.51,-2.3,48258.71,0,0
985SFIL28,NO,680,-4.23,7.45,0,0
PODDARHOUS,BZ,38.55,-4.98,24.35,0,0
IMPEXFERRO,BZ,1.9,-2.06,16.71,0.03,0
LAKPRE,BZ,4.1,-4.43,4.49,0.01,0
IIFLZC26A,NR,1171,-0.34,28.26,0,0
AARTISURF,P1,180,-7.22,19.48,0,0
772GS2055,GS,110.01,-4.67,85807.8,0,0
955SCL27,Z5,975.35,-1.73,12.88,0,0
820IIFL27,N9,958.6,-0.15,50.47,0,0
610GS2031,GS,98.31,-0.3,145498.8,0,0
699GS2051,GS,102.1,-0.39,149602.02,0,0
